,Unnamed: 0,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS,_merge
71,106,35.844763,-86.444125,2595 Old Fort Pky,Murfreesboro,TN,37130,Rutherford County,47149,both
72,108,35.909303,-86.384348,3371 Memorial Blvd,Murfreesboro,TN,37130,Rutherford County,47149,both
73,110,35.865501,-86.446419,2874 Medical Center Pkwy,Murfreesboro,TN,37129,Rutherford County,47149,both
74,112,35.868596,-86.386139,1706 Memorial Blvd,Murfreesboro,TN,37129,Rutherford County,47149,both
75,115,35.847905,-86.429987,2180 Old Fort Pky,Murfreesboro,TN,37130,Rutherford County,47149,both
76,116,35.871699,-86.353194,1436 N Rutherford Blvd,Murfreesboro,TN,37130,Rutherford County,47149,both
77,143,35.48746,-86.442265,763 Madison St,Shelbyville,TN,37160,Bedford County,47003,both
78,144,35.956337,-85.812195,507 S Congress Blvd,Smithville,TN,37166,DeKalb County,47041,both
79,150,36.493251,-86.877321,2113 Memorial Blvd,Springfield,TN,37172,Robertson County,47147,both
80,151,35.744772,-86.939161,5431 Main St,Spring Hill,TN,37174,Maury County,47119,both
